lon	lat
-0.2462399	51.5699806
-0.2462869	51.5699718
-0.2463092	51.5699663
-0.2463354	51.5699472
-0.2464677	51.569817
-0.2465017	51.5698093
-0.2465124	51.5698114
-0.2465256	51.5698194
-0.2465511	51.5698459
-0.2465595	51.5698555
-0.246559	51.5698629
-0.2465745	51.5700215
-0.246561	51.570125
-0.246536	51.570184
-0.2464576	51.5703377
-0.2464917	51.5704463
-0.246488	51.5705241
-0.2464048	51.5706203
-0.2462915	51.5706884
-0.2461713	51.5707832
-0.2461264	51.5708603
-0.246009	51.5709572
-0.2459914	51.5710055
-0.2460091	51.5710501
-0.2461423	51.5710914
-0.2462737	51.5711644
-0.2464725	51.5712492
-0.2465442	51.5712979
-0.2467206	51.571476
-0.2467287	51.5714923
-0.2467587	51.5715856
-0.2466947	51.5716492
-0.2464904	51.5717153
-0.2463949	51.5717651
-0.2462575	51.5719356
-0.2460898	51.5721194
-0.2460205	51.5721987
-0.2459877	51.5722136
-0.2459093	51.5722245
-0.2458677	51.5722255
-0.2457935	51.5721906
-0.2457268	51.5721166
-0.2455987	51.5719831
-0.2455408	51.5719462
-0.245454	51.5719174
-0.245242	51.5719142
-0.2451021	51.5719508
-0.2449008	51.5720431
-0.2447645	51.5721706
-0.2446467	51.5722326
-0.2445205	51.5722883
-0.2444894	51.5723067
-0.2444589	51.5723521
-0.2444455	51.5724374
-0.2444305	51.5724939
-0.2443618	51.5725565
-0.2442243	51.5725817
-0.2441041	51.5725353
-0.2440796	51.5725176
-0.2440723	51.5725026
-0.2441261	51.5724117
-0.2441152	51.5723559
-0.2441124	51.5723541
-0.2440386	51.5723206
-0.243921	51.5723036
-0.243646	51.5723246
-0.2433763	51.5723935
-0.2432099	51.572445
-0.2430043	51.5725012
-0.2429693	51.5725097
-0.2429185	51.5725161
-0.2428681	51.5725162
-0.2427918	51.5725088
-0.2427038	51.5724957
-0.2426335	51.572478
-0.2425472	51.5724767
-0.2425068	51.5724826
-0.2424535	51.5724977
-0.2424156	51.5725245
-0.2423943	51.5725563
-0.2424229	51.5726153
-0.2425006	51.5726723
-0.2425377	51.5726951
-0.2425637	51.5727253
-0.242562	51.5727544
-0.2425413	51.5727855
-0.2425117	51.5728047
-0.2424778	51.572813
-0.2424582	51.5728131
-0.242383	51.5728069
-0.2423587	51.5728034
-0.2422994	51.5727927
-0.242217	51.5727835
-0.2420251	51.5727916
-0.241684	51.5727337
-0.2415584	51.5727252
-0.2414551	51.572722
-0.2413997	51.5727162
-0.2413606	51.5726966
-0.2413554	51.572661
-0.2414071	51.5725585
-0.24142	51.5724976
-0.2413924	51.5723898
-0.241344	51.5722965
-0.2412705	51.572218
-0.2412062	51.572164
-0.2411563	51.572127
-0.2410041	51.5721141
-0.2409451	51.5721275
-0.2408877	51.5721409
-0.240872	51.5721518
-0.2408645	51.5721696
-0.2408599	51.5722013
-0.2408606	51.5722283
-0.2408642	51.5722664
-0.2408557	51.57229
-0.2408338	51.5723165
-0.240809	51.5723305
-0.2407783	51.5723391
-0.2407238	51.5723441
-0.2406799	51.5723366
-0.2406515	51.5723122
-0.2406421	51.5722853
-0.2406475	51.5722531
-0.2406573	51.5722205
